Instance,Year of Record,Age,Size of City,Wears Glasses,Body Height [cm]
1,1997.0,41.0,1239930,0,193
2,1996.0,41.0,1603504,0,186
3,2018.0,28.0,1298017,1,170
4,2006.0,33.0,751903,1,171
5,2010.0,46.0,95389,0,188
6,1991.0,60.0,56080,0,181
9,2015.0,43.0,85333,0,189
10,2019.0,16.0,1325383,1,157
11,1981.0,51.0,2362346,1,208
12,1989.0,15.0,1040420,0,191
15,2003.0,40.0,1834969,0,165
17,2018.0,27.0,274938,0,174
18,2003.0,25.0,51773,1,201
20,1995.0,63.0,743454,0,165
22,1987.0,38.0,91468,1,186
23,1980.0,34.0,1866490,1,185
24,1983.0,20.0,79257,0,154
25,2008.0,71.0,220873,0,179
26,1983.0,28.0,855389,0,201
27,2011.0,23.0,769387,1,177
28,2014.0,40.0,164659,1,153
29,1985.0,28.0,1496745,0,153
30,1989.0,16.0,1548795,1,180
31,1983.0,14.0,1131786,0,171
32,2011.0,40.0,1644410,1,139
34,1998.0,37.0,33707,1,163
35,2018.0,16.0,67853,0,161
36,2010.0,62.0,59341,0,219
38,2017.0,52.0,406117,0,201
39,1987.0,47.0,78847,0,213
40,2014.0,24.0,28060,1,188
41,2010.0,62.0,841917,0,157
42,2007.0,52.0,2241923,1,192
43,1988.0,26.0,1719636,0,151
44,1987.0,50.0,1549567,0,208
45,1989.0,49.0,415266,1,174
46,1994.0,18.0,572670,0,181
48,1995.0,16.0,96058,0,170
50,1992.0,33.0,1996663,1,201
51,2009.0,39.0,121865,1,185
52,2003.0,39.0,3039228,1,204
53,1996.0,15.0,65259,1,199
54,2014.0,49.0,1740993,0,155
55,2013.0,20.0,1484071,1,152
56,2004.0,49.0,1610508,0,147
57,2010.0,31.0,898480,1,160
58,2010.0,19.0,1761801,0,173
59,1997.0,66.0,1262838,1,185
60,1999.0,41.0,15399,0,180
62,1993.0,47.0,12037,0,196
63,1985.0,39.0,647569,0,176
64,2015.0,18.0,875798,1,201
65,1993.0,21.0,34031,0,165
66,2000.0,16.0,978525,0,146
67,2000.0,33.0,5202,1,183
68,2005.0,49.0,967038,1,179
69,1990.0,24.0,1114961,0,178
70,2011.0,50.0,684515,1,156
